area,authors/0/category,authors/0/name,authors/0/order,authors/1/category,authors/1/name,authors/1/order,authors/2/category,authors/2/name,authors/2/order,authors/3/category,authors/3/name,authors/3/order,authors/4/category,authors/4/name,authors/4/order,authors/5/category,authors/5/name,authors/5/order,authors/6/category,authors/6/name,authors/6/order,authors/7/category,authors/7/name,authors/7/order,authors/8/category,authors/8/name,authors/8/order,extension/advertising,extension/edition,extension/event_city,extension/event_country,extension/event_name,extension/fasciculo,extension/idiom,extension/isbn_issn,extension/n_finalPage,extension/n_startPage,extension/nature,extension/observation,extension/serie,extension/title,extension/url,extension/volume,ies,name,program,researchLine,researchProjet,subtype_,type_,year,extension/city,extension/doi,extension/editor,extension/issn,extension/advertising_mode,extension/author_info,extension/award,extension/award_date,extension/city_country,extension/content_nature,extension/contribution_type,extension/distribution,extension/editor_type,extension/editorial_city,extension/editorial_conselor,extension/funding,extension/indication_date,extension/indice,extension/institution,extension/isbn,extension/name_funding,extension/page_count,extension/page_count_contribution,extension/parecer,extension/reedition,extension/reference_work,extension/reimpresion,extension/tiragem,extension/year_fst_pusblish,authors/9/category,authors/9/name,authors/9/order,authors/10/category,authors/10/name,authors/10/order,authors/11/category,authors/11/name,authors/11/order,authors/12/category,authors/12/name,authors/12/order,authors/13/category,authors/13/name,authors/13/order,authors/14/category,authors/14/name,authors/14/order,authors/15/category,authors/15/name,authors/15/order,authors/16/category,authors/16/name,authors/16/order,authors/17/category,authors/17/name,authors/17/order,authors/18/category,authors/18/name,authors/18/order,authors/19/category,authors/19/name,authors/19/order,authors/20/category,authors/20/name,authors/20/order,authors/21/category,authors/21/name,authors/21/order,authors/22/category,authors/22/name,authors/22/order,authors/23/category,authors/23/name,authors/23/order,authors/24/category,authors/24/name,authors/24/order,authors/25/category,authors/25/name,authors/25/order,authors/26/category,authors/26/name,authors/26/order,authors/27/category,authors/27/name,authors/27/order,authors/28/category,authors/28/name,authors/28/order,authors/29/category,authors/29/name,authors/29/order,authors/30/category,authors/30/name,authors/30/order,authors/31/category,authors/31/name,authors/31/order,authors/32/category,authors/32/name,authors/32/order
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Discente,KAROLYNE MARIA ALVES DE OLIVEIRA,1,Discente,JOAO HENRIQUE CORREIA PIMENTEL,2,Discente,EMANUEL BATISTA DOS SANTOS,3,Discente,GABRIELA GUEDES DE SOUZA,4,Docente,JAELSON FREIRE BRELAZ DE CASTRO,5,Participante Externo,FERNANDA MARIA RIBEIRO DE ALENCAR,6,Docente,CARLA TACIANA LIMA LOURENCO SILVA SCHUENEMANN,7,Participante Externo,CLEICE TALITHA NASCIMENTO SOUZA,8,Discente,MONIQUE CONCEICAO SOARES,9,MEIO DIGITAL,-,Montevideo,URUGUAI,16th Workshop on Requirements Engineering,-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proceedings WER 2013,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,25 YEARS OF REQUIREMENTS ENGINEERING IN BRAZIL: A SYSTEMATIC MAPPING.,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDES DE COMPUTADORES E SISTEMAS DISTRIBUIDOS,Discente,FRANCISCO PAULO MAGALHAES SIMOES,1,Sem categoria,Rafael Alves Roberto,2,Discente,LUCAS SILVA FIGUEIREDO,3,Discente,JOAO PAULO SILVA DO MONTE LIMA,4,Sem categoria,Mozart Williams S. Almeida,5,Docente,VERONICA TEICHRIEB,6,,,,,,,,,,MEIO DIGITAL,-,Cuiabá,BRASIL,Symposium on Virtual and Augmented Reality,-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proceedings of the SVR 2013,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,3D TRACKING IN INDUSTRIAL SCENARIOS: A CASE STUDY AT THE ISMAR TRACKING COMPETITION,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),MÍDIA E INTERAÇÃO,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,RYAN RIBEIRO DE AZEVEDO,1,Docente,FREDERICO LUIZ GONCALVES DE FREITAS,2,Discente,RODRIGO GUSMAO DE CARVALHO ROCHA,3,,,,,,,,,,,,,,,,,,,HIPERTEXTO,-,recife,BRASIL,Simpósio brasileiro de Bancos de Dados (SBBD),-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proceedings of the Brazilian symposium on databases,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,41 TRANSLATING NATURAL LANGUAGE INTO ONTOLOGY,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,HERMES - APRENDIZAGEM E POVOAMENTO DE ONTOLOGIAS A PARTIR DE FONTES TEXTUAIS,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,RICARDO DE ANDRADE ARAUJO,1,Docente,ADRIANO LORENA INACIO DE OLIVEIRA,2,Docente,SILVIO ROMERO DE LEMOS MEIRA,3,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,,,,,-,Inglês,,55,48,Trabalho Completo,-,-,,http://www.lnlm-sbic.org/papers/vol11-no1-art4.pdf,11,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A SWARM-BASED EVOLUTIONARY MORPHOLOGICAL APPROACH FOR BINARY CLASSIFICATION PROBLEMS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,ANÁLISE DE DATA STREAMS UTILIZANDO APRENDIZADO DE MÁQUINA,ARTIGO EM PERIÓDICO,BIBLIOGRAFICA,2013,-,-,-,Learning and Nonlinear Models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Docente,CARLA TACIANA LIMA LOURENCO SILVA SCHUENEMANN,1,Docente,JAELSON FREIRE BRELAZ DE CASTRO,2,,,,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Rio de Janeiro,ALEMANHA,Requirements Engineering@Brazil 2013,-,Inglês,-,-,166,TRABALHO COMPLETO,-,-,CEUR Workshop Proceedings,-,1005,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A BI-DIRECTIONAL INTEGRATION BETWEEN I* AND BPMN MODELS IN THE CONTEXT OF BUSINESS PROCESS MANAGEMENT: A POSITION PAPER (ACEITO),CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,LEONARDO VALERIANO NERI,1,Docente,TSANG ING REN,2,Docente,GEORGE DARMITON DA CUNHA CAVALCANTI,3,Sem categoria,"JYH, TSANG ING",4,Sem categoria,"SIJBERS, JAN",5,,,,,,,,,,,,,MEIO DIGITAL,-,Manchester,GRÃ-BRETANHA,"2013 IEEE International Conference on Systems, Man and Cybernetics (SMC 2013)",-,Inglês,-,-,4332,TRABALHO COMPLETO,-,-,"2013 IEEE International Conference on Systems, Man, and Cybernetics",-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A COMBINED FEATURES APPROACH FOR SPEAKER SEGMENTATION USING BIC AND ARTIFICIAL NEURAL NETWORKS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),PROCESSAMENTO DE IMAGENS,SISTEMA DE RECONHECIMENTO E RASTREAMENTO DE IMAGENS DE VÍDEO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Discente,GUSTAVO HENRIQUE PORTO DE CARVALHO,1,Docente,ALEXANDRE CABRAL MOTA,2,Docente,AUGUSTO CESAR ALVES SAMPAIO,3,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Queensland,NOVA ZELÂNDIA,International Conference on Formal Engineering Methods,-,Inglês,-,-,1,TRABALHO COMPLETO,-,-,15th International Conference on Formal Engineering Methods (ICFEM'2013),-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A CSP TIMED INPUT-OUTPUT RELATION AND A STRATEGY FOR MECHANISED CONFORMANCE VERIFICATION,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,COMPASS - COMPREHENSIVE MODELLING FOR ADVANCED SYSTEMS OF SYSTEMS,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Participante Externo,ALBERTO COSTA NETO,1,Participante Externo,RODRIGO BONIFACIO DE ALMEIDA,2,Participante Externo,MARCIO DE MEDEIROS RIBEIRO,3,Participante Externo,CARLOS EDUARDO PONTUAL DE LEMOS CASTRO,4,Docente,PAULO HENRIQUE MONTEIRO BORBA,5,Docente,FERNANDO JOSE CASTOR DE LIMA FILHO,6,,,,,,,,,,http://www.sciencedirect.com/science/article/pii/S0164121213000861,,,,,-,MEIO DIGITAL,,2333,Inglês,1,-,2356,,-,-,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A DESIGN RULE LANGUAGE FOR ASPECT-ORIENTED PROGRAMMING,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,DESENVOLVIMENTO DE LINHAS DE PRODUTOS DE SOFTWARE USANDO TÉCNICAS ORIENTADAS A ASPECTOS,ARTIGO EM PERIÓDICO,BIBLIOGRAFICA,2013,http://dx.doi.org/10.1016/j.jss.2013.03.104,The Journal of Systems and Software,-,Trabalho Completo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEORIA DA COMPUTAÇÃO,Sem categoria,Julio Cesar,1,Docente,RICARDO MARTINS DE ABREU SILVA,2,Participante Externo,GERALDO ROBSON MATEUS,3,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,-,manaus,BRASIL,WORKSHOP ON DISTANCE GEOMETRY AND APPLICATIONS,-,Inglês,-,-,-,RESUMO EXPANDIDO,-,-,WORKSHOP ON DISTANCE GEOMETRY AND APPLICATIONS - DGA'2013,-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A DISTANCE BASED SENSOR LOCATION ALGORITHM.,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ALGORITMOS E COMPLEXIDADE,TÉCNICAS DE OTIMIZAÇÃO PARA PROBLEMAS COMBINATÓRIOS (EDITAL UNIVERSAL 2007),TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDES DE COMPUTADORES E SISTEMAS DISTRIBUIDOS,Sem categoria,Rafael Alves Roberto,1,Discente,DANIEL QUEIROZ DE FREITAS,2,Discente,FRANCISCO PAULO MAGALHAES SIMOES,3,Docente,VERONICA TEICHRIEB,4,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Cuiabá,BRASIL,Symposium on Virtual and Augmented Reality,-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proceedings of the SVR 2013,-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A DYNAMIC BLOCKS PLATFORM BASED ON PROJECTIVE AUGMENTED REALITY AND TANGIBLE INTERFACES FOR EDUCATIONAL ACTIVITIES,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),MÍDIA E INTERAÇÃO,MODELAGEM 3D E TRACKING PARA APLICAÇÕES DE REALIDADE AUMENTADA,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDES DE COMPUTADORES E SISTEMAS DISTRIBUIDOS,Discente,DANIEL QUEIROZ DE FREITAS,1,Sem categoria,Rafael Alves Roberto,2,Docente,VERONICA TEICHRIEB,3,Discente,FRANCISCO PAULO MAGALHAES SIMOES,4,,,,,,,,,,,,,,,,http://ieeexplore.ieee.org/xpl/articleDetails.jsp?arnumber=6655756,,,,,-,MEIO DIGITAL,,8,Inglês,4,-,18,,-,-,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A DYNAMIC BLOCKS PLATFORM BASED ON PROJECTIVE AUGMENTED REALITY AND TANGIBLE INTERFACES FOR EDUCATIONAL ACTIVITIES,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),MÍDIA E INTERAÇÃO,PESQUISA E DESENVOLVIMENTO DE AMBIENTE BASEADO EM TÉCNICAS DE REALIDADE VIRTUAL E AUMENTADA PARA SIMULAÇÃO DE PROCESSOS EM SUBESTAÇÕES DE ENERGIA,ARTIGO EM PERIÓDICO,BIBLIOGRAFICA,2013,http://dx.doi.org/10.1109/SVR.2013.11,SBC Journal on 3D Interactive Systems,-,Trabalho Completo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEORIA DA COMPUTAÇÃO,Docente,RUY JOSE GUERRA BARRETTO DE QUEIROZ,1,Discente,PASQUELINE DANTAS SCAICO,2,,,,,,,,,,,,,,,,,,,,,,VÁRIOS,-,Campinas,BRASIL,XXIV Simposio Brasileiro de Informatica na Educação (SBIE 2013),-,Português,-,-,889,TRABALHO COMPLETO,DOI: 10.5753/CBIE.SBIE.2013.889,-,Anais do XXIV Simpo&#769;sio Brasileiro de Informa&#769;tica na Educac&#807;a&#771;o (SBIE 2013),-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A EDUCAÇÃO DO FUTURO: UMA REFLEXÃO SOBRE APRENDIZAGEM NA ERA DIGITAL,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),LÓGICA E SISTEMAS DEDUTIVOS,Análise Multidisciplinar do Cibercrime,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NÃO INFORMADA,Sem categoria,W Simes,1,Sem categoria,"da S. Barboza, R",2,Sem categoria,"de Lucena, V",3,Docente,RAFAEL DUEIRE LINS,4,,,,,,,,,,,,,,,,,,,,,,Capítulo,,,,-,-,,-,Idioma Estrangeiro,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A FAST AND ACCURATE ALGORITHM FOR DETECTING AND TRACKING MOVING HAND GESTURES,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),NÃO INFORMADA,NÃO INFORMADO,LIVRO,BIBLIOGRAFICA,2013,,,-,,-,-,CRC Press,-,-,-,Didática,-,-,-,-,-,9781138000810,COLETÂNEA,-,Obra Digital / Eletrônica,-,-,Computational Vision and Medical Image Processing IV,-,-,BRASIL,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Discente,LUCAS ALBERTINS DE LIMA,1,Discente,ANDRE LUIS RIBEIRO DIDIER,2,Docente,MARCIO LOPES CORNELIO,3,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Brasília,BRASIL,"16th Brazilian Symposium, SBMF 2013",-,Português,-,-,179,TRABALHO COMPLETO,-,-,Formal Methods: Foundations and Application (Lecture Notes in Computer Science),-,8195,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A FORMAL SEMANTICS FOR SYSML ACTIVITY DIAGRAMS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,COMPASS - COMPREHENSIVE MODELLING FOR ADVANCED SYSTEMS OF SYSTEMS,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,RAFAEL FERREIRA LEITE DE MELLO,1,Docente,FREDERICO LUIZ GONCALVES DE FREITAS,2,Discente,RINALDO JOSE DE LIMA,3,Docente,RAFAEL DUEIRE LINS,4,Participante Externo,LUCIANO DE SOUZA CABRAL,5,Participante Externo,GABRIEL DE FRANCA PEREIRA E SILVA,6,,,,,,,,,,VÁRIOS,-,"Atlanta, GA, EUA",ESTADOS UNIDOS,Web Intelligence,-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proceedings of the Web Intelligence,-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A FOUR DIMENSION GRAPH MODEL FOR AUTOMATIC TEXT SUMMARIZATION,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,HERMES - APRENDIZAGEM E POVOAMENTO DE ONTOLOGIAS A PARTIR DE FONTES TEXTUAIS,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Docente,FRANCISCO DE ASSIS TENORIO DE CARVALHO,1,Discente,FILIPE MARTINS DE MELO,2,Sem categoria,"Lechevallier, Yves",3,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Fortaleza,ESTADOS UNIDOS,2013 Brazilian Conference on Intelligent Systems (BRACIS),-,Inglês,-,-,107,TRABALHO COMPLETO,-,-,2013 Brazilian Conference on Intelligent Systems,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A FUZZY C-MEDOIDS CLUSTERING ALGORITHM BASED ON MULTIPLE DISSIMILARITY MATRICES,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,"CLUSTERING OF RELATIONAL DATA AND SOCIAL NETWORK DATA ANALYSIS - CRD-SNDA, EDITAL FACEPE - NO 04/2009 (ACORDO DE COOPERAÇÃO FACEPE/INRIA)",TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NÃO INFORMADA,Discente,LEONARDO VIEIRA DE CARVALHO,1,Sem categoria,ATILA VALGUEIRO MALTA MOREIRA,2,Discente,VICENTE VIEIRA FILHO,3,Discente,MARCO TULIO CARACIOLO FERREIRA ALBUQUERQUE,4,Docente,GEBER LISBOA RAMALHO,5,,,,,,,,,,,,,VÁRIOS,-,São Paulo,BRASIL,XII Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames 2013),-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,roceedings do XII Simpósio Brasileiro de Jogos e Entretenimento Digital,-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A GENERIC FRAMEWORK FOR PROCEDURAL GENERATION OF GAMEPLAY SESSIONS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),NÃO INFORMADA,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,JOAO FAUSTO LORENZATO DE OLIVEIRA,1,Discente,LUCIANO DEMETRIO SANTOS PACIFICO,2,Docente,TERESA BERNARDA LUDERMIR,3,,,,,,,,,,,,,,,,,,,IMPRESSO,-,Fortaleza,ESTADOS UNIDOS,2013 Brazilian Conference on Intelligent Systems (BRACIS),-,Inglês,-,-,51,TRABALHO COMPLETO,-,-,2013 Brazilian Conference on Intelligent Systems,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A HYBRID GROUP SEARCH OPTIMIZATION BASED ON FISH SWARMS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDES DE COMPUTADORES E SISTEMAS DISTRIBUIDOS,Discente,ZULEIKA TENORIO CAVALCANTI DO NASCIMENTO,1,Docente,DJAMEL FAWZI HADJ SADOK,2,Docente,STENIO FLAVIO DE LACERDA FERNANDES,3,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,-,-,BRASIL,The Ninth International Conference on Networking and Services,-,Português,-,-,-,TRABALHO COMPLETO,-,-,A Hybrid Model for Network Traf&#64257;c Identi&#64257;cation Based on Association Rules and Self-Organizing Maps (SOM),-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A HYBRID MODEL FOR NETWORK TRAF&#64257;C IDENTI&#64257;CATION BASED ON ASSOCIATION RULES AND SELF-ORGANIZING MAPS (SOM),CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),REDES DE COMPUTADORES,ASPECTOS DINÂMICOS EM PROTOCOLOS DE ROTEAMENTO EM REDES DE AMBIENTE,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Participante Externo,CLAUIRTON DE ALBUQUERQUE SIEBRA,1,Docente,ANDRE LUIS DE MEDEIROS SANTOS,2,,,,,,,,,,,,,,,,,,,,,,IMPRESSO,-,Nice,FRANÇA,"The Fifth International Conference on eHealth, Telemedicine, and Social Medicine",-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,"Proceedings of the Fifth International Conference on eHealth, Telemedicine, and Social Medicine",-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A KNOWLEDGE REPRESENTATION FOR CARDIOVASCULAR PROBLEMS APPLIED TO MOBILE MONITORING OF ELDERLY PEOPLE,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,RICARDO DE ANDRADE ARAUJO,1,Docente,ADRIANO LORENA INACIO DE OLIVEIRA,2,Docente,SILVIO ROMERO DE LEMOS MEIRA,3,,,,,,,,,,,,,,,,,,,IMPRESSO,-,"Cancun, Mexico",ESTADOS UNIDOS,IEEE Congress on Evolutionary Computation (CEC 2013),-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proc. of IEEE Congress on Evolutionary Computation (CEC 2013),-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A LEARNING PROCESS BASED ON COVARIANCE MATRIX ADAPTATION FOR MORPHOLOGICAL-LINEAR PERCEPTRONS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,ANÁLISE DE DATA STREAMS UTILIZANDO APRENDIZADO DE MÁQUINA,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDES DE COMPUTADORES E SISTEMAS DISTRIBUIDOS,Discente,WESLEY DAVISON BRAGA MELO,1,Docente,STENIO FLAVIO DE LACERDA FERNANDES,2,Sem categoria,Rafael Antonello,3,Docente,DJAMEL FAWZI HADJ SADOK,4,Docente,JUDITH KELNER,5,Sem categoria,"Szabo, Geza",6,,,,,,,,,,MEIO DIGITAL,-,Budapeste-Hungria,HUNGRIA,IEEE International Conference on Communications - ICC'2013,-,Inglês,-,-,2974,TRABALHO COMPLETO,-,-,Proceeding in the International Conference on Communications - ICC'2013,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,A LOOK UNDER THE HOOD: REVEALING PERFORMANCE ISSUES IN THE DPI ENGINE,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),REDES DE COMPUTADORES,ANÁLISE E MEDIÇÃO DE TRÁFEGO BANDA LARGA,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
